,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,manggar,-2.8833,108.2667,24.88,86,99,1.8,ID,1676232355
1,castro,-24.7911,-50.0119,22.57,85,63,0.22,BR,1676232356
2,hobart,-42.8794,147.3294,11.7,74,75,3.6,AU,1676232303
3,asfi,32.2994,-9.2372,17.46,59,100,6.7,MA,1676232158
4,rikitea,-23.1203,-134.9692,25.75,68,47,1.32,PF,1676232358
5,dwarka,22.2394,68.9678,22.45,49,0,5.5,IN,1676232359
6,carnarvon,-24.8667,113.6333,25.38,66,0,9.67,AU,1676232360
7,peno,56.9262,32.7426,-4.73,94,100,3.51,RU,1676232361
8,kjopsvik,68.097,16.3742,2.93,83,100,16.25,NO,1676232363
9,new norfolk,-42.7826,147.0587,11.51,66,2,1.28,AU,1676232365
10,bluff,-46.6,168.3333,13.92,89,88,2.81,NZ,1676232366
11,san cristobal,7.7669,-72.225,26.1,50,43,2.19,VE,1676232367
12,port alfred,-33.5906,26.891,22.88,95,93,1.34,ZA,1676232368
13,revelstoke,50.9832,-118.2023,1.01,93,100,4.63,CA,1676232369
14,tuktoyaktuk,69.4541,-133.0374,-37.0,67,40,1.03,CA,1676232370
15,butaritari,3.0707,172.7902,26.23,84,91,5.52,KI,1676232371
16,goundi,9.3627,17.366,30.13,13,23,1.8,TD,1676232372
17,chuy,-33.6971,-53.4616,31.27,42,0,6.87,UY,1676232373
18,ushuaia,-54.8,-68.3,11.79,58,75,7.2,AR,1676232122
19,port blair,11.6667,92.75,24.02,83,81,0.51,IN,1676232375
20,kapaa,22.0752,-159.319,25.18,76,75,9.77,US,1676232375
21,tasiilaq,65.6145,-37.6368,-5.91,71,100,4.48,GL,1676232377
22,bilibino,68.0546,166.4372,-35.1,99,79,1.88,RU,1676232380
23,saldanha,-33.0117,17.9442,18.22,92,0,6.17,ZA,1676232381
24,mataura,-46.1927,168.8643,14.03,87,49,0.47,NZ,1676232230
25,puerto carreno,6.189,-67.4859,34.99,41,20,5.66,CO,1676232382
26,port hedland,-20.3167,118.5667,30.03,89,38,3.6,AU,1676232383
27,souillac,-20.5167,57.5167,26.21,69,40,4.12,MU,1676232385
28,laguna de perlas,12.3429,-83.6712,28.05,76,4,7.26,NI,1676232386
29,ende,-8.8432,121.6623,25.23,86,100,2.29,ID,1676232388
30,atuona,-9.8,-139.0333,26.05,75,2,7.85,PF,1676232390
31,cape town,-33.9258,18.4232,21.73,83,20,7.2,ZA,1676232393
32,anadyr,64.75,177.4833,-33.72,75,20,4.0,RU,1676232394
33,elko,41.0002,-115.5012,1.01,62,3,2.68,US,1676232396
34,kalamazoo,42.2506,-85.55,12.03,22,0,6.17,US,1676232232
35,umarkot,25.3616,69.7362,17.65,11,0,4.92,PK,1676232393
36,toktogul,41.8708,72.9402,-10.17,67,12,1.28,KG,1676232400
37,saint-philippe,-21.3585,55.7679,24.77,82,100,5.33,RE,1676232401
38,hambantota,6.1241,81.1185,22.71,85,71,4.99,LK,1676232374
39,georgetown,5.4112,100.3354,26.96,99,40,2.57,MY,1676232103
40,punta arenas,-53.15,-70.9167,12.06,50,40,9.77,CL,1676232179
41,bahia blanca,-38.7196,-62.2724,24.29,69,75,2.57,AR,1676232405
42,jamestown,42.097,-79.2353,9.8,18,0,2.06,US,1676232258
43,busselton,-33.65,115.3333,14.26,80,0,4.61,AU,1676232407
44,revda,56.801,59.9303,-8.48,87,100,3.97,RU,1676232408
45,ostrovnoy,68.0531,39.5131,-4.26,90,100,12.61,RU,1676232409
46,cairns,-16.9167,145.7667,25.04,90,93,1.54,AU,1676232223
47,goderich,43.7501,-81.7165,2.73,66,0,4.03,CA,1676232411
48,thompson,55.7435,-97.8558,-10.91,85,100,3.6,CA,1676232412
49,gavrilov-yam,57.3018,39.8533,-8.09,100,85,1.87,RU,1676232413
50,caravelas,-17.7125,-39.2481,27.91,71,14,3.71,BR,1676232414
51,lompoc,34.6391,-120.4579,17.69,56,100,6.17,US,1676232415
52,mar del plata,-38.0023,-57.5575,25.01,83,75,3.09,AR,1676232416
53,lakatoro,-16.0999,167.4164,26.91,86,100,7.39,VU,1676232417
54,rocha,-34.4833,-54.3333,37.86,20,2,7.66,UY,1676232419
55,korla,41.7597,86.1469,-0.9,71,12,1.29,CN,1676232420
56,neiva,2.9273,-75.2819,34.94,36,40,2.06,CO,1676232173
57,andenes,69.3143,16.1194,2.99,70,100,16.46,NO,1676232148
58,katsuura,35.1333,140.3,12.01,93,100,5.37,JP,1676232426
59,jiaohe,43.7286,127.3447,-18.4,100,89,1.04,CN,1676232427
60,severobaykalsk,55.65,109.3167,-19.39,90,41,2.63,RU,1676232428
61,klaksvik,62.2266,-6.589,8.51,84,100,11.98,FO,1676232430
62,luganville,-15.5333,167.1667,26.48,82,100,1.22,VU,1676232431
63,huilong,31.8111,121.655,6.63,94,100,7.14,CN,1676232432
64,jijiga,9.35,42.8,17.1,51,0,2.48,ET,1676232433
65,nanortalik,60.1432,-45.2371,-8.31,65,100,5.31,GL,1676232436
66,irbil,36.1926,44.0106,1.9,69,0,0.0,IQ,1676232337
67,naze,28.3667,129.4833,20.0,85,31,8.42,JP,1676232441
68,kautokeino,69.0125,23.0412,-1.65,73,88,13.78,NO,1676232442
69,noumea,-22.2763,166.4572,26.67,99,70,5.11,NC,1676232023
70,sohag,26.557,31.6948,13.07,39,88,4.89,EG,1676232446
71,wassenberg,51.1,6.15,8.47,84,20,1.54,DE,1676232448
72,east london,-33.0153,27.9116,23.84,85,13,5.52,ZA,1676232242
73,pevek,69.7008,170.3133,-30.13,94,100,0.9,RU,1676232452
74,emerald,-23.5333,148.1667,24.76,37,0,3.44,AU,1676232453
75,barrow,71.2906,-156.7887,-27.99,76,0,5.66,US,1676232431
76,clyde river,70.4692,-68.5914,-31.52,98,95,1.4,CA,1676232455
77,bredasdorp,-34.5322,20.0403,23.83,61,81,2.77,ZA,1676232456
78,caucaia,-3.7361,-38.6531,28.97,74,0,4.12,BR,1676232457
79,cidreira,-30.1811,-50.2056,26.58,70,0,5.76,BR,1676232458
80,yellowknife,62.456,-114.3525,-18.58,84,11,0.89,CA,1676232459
81,ntungamo,-0.8833,29.65,24.13,47,90,1.9,UG,1676232460
82,sitka,57.0531,-135.33,5.94,81,100,5.66,US,1676232461
83,dikson,73.5069,80.5464,-11.06,92,100,9.19,RU,1676232463
84,yarim,14.298,44.3779,10.83,20,0,2.4,YE,1676232463
85,bundaberg,-24.85,152.35,25.68,94,7,1.34,AU,1676232464
86,ushtobe,45.2514,77.9838,-12.25,92,9,3.35,KZ,1676232465
87,hofn,64.2539,-15.2082,2.52,94,100,4.41,IS,1676232467
88,ancud,-41.8697,-73.8203,15.24,57,100,4.28,CL,1676232468
89,nisia floresta,-6.0911,-35.2086,29.45,67,99,5.49,BR,1676232292
90,kazerun,29.6195,51.6541,13.91,71,100,0.8,IR,1676232469
91,kruisfontein,-34.0033,24.7314,22.16,84,78,3.13,ZA,1676232470
92,bambous virieux,-20.3428,57.7575,24.56,70,13,7.04,MU,1676232472
93,victoria,22.2855,114.1577,22.03,94,51,4.47,HK,1676232473
94,khorixas,-20.3667,14.9667,24.16,46,3,6.82,NA,1676232473
95,hithadhoo,-0.6,73.0833,27.02,67,2,4.92,MV,1676232474
96,kodiak,57.79,-152.4072,-6.27,63,100,8.75,US,1676232475
97,kalang,5.9197,121.3631,25.25,83,73,1.81,PH,1676232476
98,padang,-0.9492,100.3543,24.03,89,100,1.49,ID,1676232477
99,gweru,-19.45,29.8167,19.56,76,100,2.41,ZW,1676232478
100,koutsouras,35.0339,25.9469,10.06,53,13,4.51,GR,1676232478
101,saint-joseph,-21.3667,55.6167,24.21,80,100,5.01,RE,1676232479
102,port lincoln,-34.7333,135.8667,14.48,75,13,4.8,AU,1676232480
103,bengkulu,-3.8004,102.2655,24.13,82,99,2.81,ID,1676232481
104,ribeira grande,38.5167,-28.7,15.43,67,75,8.49,PT,1676232482
105,avarua,-21.2078,-159.775,28.03,78,20,3.6,CK,1676232474
106,almas,46.2833,22.2333,-2.21,97,32,1.05,RO,1676232484
107,lagunillas,10.1301,-71.2595,29.81,58,21,3.63,VE,1676232485
108,half moon bay,37.4636,-122.4286,18.39,66,0,5.14,US,1676232417
109,la ronge,55.1001,-105.2842,-0.46,86,91,4.96,CA,1676232488
110,esperance,-33.8667,121.9,14.99,80,0,4.48,AU,1676232490
111,torbay,47.6666,-52.7314,-4.12,73,78,4.02,CA,1676232491
112,vardo,70.3705,31.1107,-1.01,86,75,8.23,NO,1676232492
113,albany,42.6001,-73.9662,8.46,41,99,1.32,US,1676232357
114,algiers,36.7525,3.042,9.9,76,20,1.54,DZ,1676232494
115,pokhara,28.2333,83.9833,11.25,38,0,3.13,NP,1676232495
116,khatanga,71.9667,102.5,-16.06,97,100,2.65,RU,1676232497
117,mundu,8.5667,16.0833,29.03,13,17,2.2,TD,1676232498
118,vaini,-21.2,-175.2,26.27,87,100,7.1,TO,1676232499
119,zelenogorsk,56.1147,94.5861,-22.9,97,86,0.68,RU,1676232500
